delivery_id,order_id,dark_store_id,delivery_type,delivery_time_min,late_delivery_flag
700001,100001,4,Bike,17.3,0
700002,100002,2,Bike,26.5,1
700003,100003,24,Bike,15.7,0
700004,100004,18,Bike,30.1,1
700005,100005,19,Bike,15.2,0
700006,100006,19,Cycle,20.2,0
700007,100007,6,Ev,19.8,0
700008,100008,28,Bike,28.1,1
700009,100009,1,Bike,8.3,0
700010,100010,2,Bike,19.5,0
700011,100011,23,Cycle,15,0
700012,100012,26,Bike,18.3,0
700013,100013,12,Bike,26.1,1
700014,100014,19,Bike,19.1,0
700015,100015,30,Bike,8.9,0
700016,100016,7,Bike,16.7,0
700017,100017,1,Bike,19.9,0
700018,100018,29,Bike,26.2,1
700019,100019,1,Bike,11.4,0
700020,100020,28,Bike,18.5,0
700021,100021,3,Bike,18.5,0
700022,100022,18,Bike,28.8,1
700023,100023,30,Bike,24.9,0
700024,100024,1,Bike,12.7,0
700025,100025,23,Bike,13.2,0
700026,100026,9,Bike,8.7,0
700027,100027,7,Bike,10.2,0
700028,100028,19,Bike,18.5,0
700029,100029,17,Ev,19.5,0
700030,100030,17,Ev,23.3,0
700031,100031,17,Bike,20.6,0
700032,100032,25,Bike,11.2,0
700033,100033,18,Bike,21.4,0
700034,100034,19,Bike,11.6,0
700035,100035,16,Ev,19.1,0
700036,100036,21,Bike,23,0
700037,100037,6,Bike,18,0
700038,100038,3,Cycle,27.9,1
700039,100039,8,Bike,10.8,0
700040,100040,24,Bike,24.1,0
700041,100041,4,Ev,20.6,0
700042,100042,22,Ev,21.9,0
700043,100043,1,Bike,17.7,0
700044,100044,6,Cycle,9,0
700045,100045,26,Ev,20,0
700046,100046,6,Bike,14.7,0
700047,100047,1,Bike,15.7,0
700048,100048,25,Bike,18.8,0
700049,100049,4,Bike,12.9,0
700050,100050,16,Bike,24,0
700051,100051,24,Bike,30.2,1
700052,100052,24,Bike,15.9,0
700053,100053,28,Cycle,9.6,0
700054,100054,4,Bike,18.7,0
700055,100055,22,Bike,16,0
700056,100056,2,Ev,27.8,1
700057,100057,6,Ev,22.8,0
700058,100058,16,Bike,27.5,1
700059,100059,3,Bike,18.4,0
700060,100060,25,Bike,24.9,0
700061,100061,21,Bike,8.4,0
700062,100062,16,Ev,24.5,0
700063,100063,5,Bike,18.1,0
700064,100064,18,Bike,20.3,0
700065,100065,27,Bike,17,0
700066,100066,30,Bike,12.2,0
700067,100067,30,Bike,24.5,0
700068,100068,8,Bike,21.1,0
700069,100069,21,Bike,14.3,0
700070,100070,21,Bike,15.5,0
700071,100071,24,Bike,16.1,0
700072,100072,23,Ev,13.4,0
700073,100073,24,Ev,14.1,0
700074,100074,20,Bike,18.1,0
700075,100075,14,Bike,8.2,0
700076,100076,20,Ev,9,0
700077,100077,8,Bike,9.7,0
700078,100078,22,Cycle,14.8,0
700079,100079,24,Bike,35.6,1
700080,100080,12,Bike,18.4,0
700081,100081,16,Bike,15.1,0
700082,100082,15,Bike,15,0
700083,100083,14,Bike,9.8,0
700084,100084,26,Bike,26.5,1
700085,100085,8,Bike,17.4,0
700086,100086,19,Ev,10.4,0
700087,100087,13,Bike,23.3,0
700088,100088,30,Bike,15.8,0
700089,100089,11,Ev,26.2,1
700090,100090,3,Ev,11.4,0
700091,100091,28,Bike,14.3,0
700092,100092,1,Bike,13.7,0
700093,100093,15,Bike,17.6,0
700094,100094,9,Bike,15.9,0
700095,100095,30,Bike,22.3,0
700096,100096,27,Ev,12.2,0
700097,100097,1,Bike,21.1,0
700098,100098,23,Ev,18.8,0
700099,100099,17,Bike,20.1,0
700100,100100,24,Bike,14,0
700101,100101,23,Ev,14.2,0
700102,100102,19,Bike,27.4,1
700103,100103,23,Bike,14.5,0
700104,100104,23,Ev,23.8,0
700105,100105,16,Bike,18.2,0
700106,100106,3,Bike,17.3,0
700107,100107,6,Bike,23.7,0
700108,100108,3,Ev,13.7,0
700109,100109,13,Bike,22.4,0
700110,100110,12,Bike,24.3,0
700111,100111,2,Ev,27,1
700112,100112,16,Bike,12.4,0
700113,100113,18,Ev,7.7,0
700114,100114,24,Ev,24.3,0
700115,100115,22,Bike,16.3,0
700116,100116,12,Bike,16.2,0
700117,100117,28,Bike,24.4,0
700118,100118,2,Bike,19.9,0
700119,100119,1,Ev,10.5,0
700120,100120,16,Bike,11.6,0
700121,100121,16,Bike,13.1,0
700122,100122,13,Bike,23.8,0
700123,100123,14,Bike,22.3,0
700124,100124,1,Bike,14.3,0
700125,100125,5,Bike,17.1,0
700126,100126,5,Ev,7.7,0
700127,100127,1,Bike,17,0
700128,100128,4,Bike,21.7,0
700129,100129,29,Bike,14.9,0
700130,100130,28,Bike,16.9,0
700131,100131,28,Bike,16.7,0
700132,100132,16,Bike,9.2,0
700133,100133,30,Bike,20.8,0
700134,100134,3,Ev,23.4,0
700135,100135,5,Ev,20.9,0
700136,100136,13,Bike,11.9,0
700137,100137,27,Bike,21.9,0
700138,100138,18,Bike,7.9,0
700139,100139,28,Bike,11.6,0
700140,100140,15,Bike,26.9,1
700141,100141,12,Bike,19.8,0
700142,100142,14,Ev,10.3,0
700143,100143,14,Bike,10.3,0
700144,100144,29,Bike,22.7,0
700145,100145,29,Bike,19.7,0
700146,100146,1,Bike,14.3,0
700147,100147,4,Cycle,19.8,0
700148,100148,28,Ev,23.3,0
