order_item_id,order_id,product_id,quantity,unit_price_mrp,unit_cost
1,100001,121,3,377.37,297.55
2,100002,32,4,334.92,214.08
3,100003,165,2,179.45,109.81
4,100004,90,3,375.96,219.7
5,100005,170,2,200.19,115
10,100006,81,3,159.76,113.12
12,100007,154,2,216.19,136.36
17,100008,91,4,149.61,86.53
20,100009,18,4,386.94,291.02
24,100010,70,3,158.18,125.43
28,100011,22,3,33.07,25.71
30,100012,30,1,37.19,23.48
33,100013,115,4,358.98,254.08
35,100014,91,4,149.61,86.53
38,100015,100,4,357.09,266.02
44,100016,35,3,48.33,38.51
46,100017,80,3,110.3,80.75
47,100018,110,1,266.86,203.43
48,100019,105,2,21.92,12.94
49,100020,3,3,79.29,46.7
51,100021,59,3,325.4,194.15
56,100022,49,1,218.64,143.62
62,100023,176,2,211.19,161.38
68,100024,52,2,139.46,94.43
70,100025,2,2,298.16,208.61
71,100026,72,4,208.95,130.64
74,100027,151,3,39.64,27.07
80,100028,64,3,330.85,253.16
83,100029,64,4,330.85,253.16
85,100030,172,3,85.82,56.51
90,100031,95,1,221.27,135.08
95,100032,124,4,182.71,144.64
101,100033,24,4,138.45,94.15
106,100034,22,4,33.07,25.71
108,100035,151,2,39.64,27.07
112,100036,152,3,225.44,159.92
118,100037,60,1,359.17,245.97
124,100038,51,2,31.94,22.65
127,100039,37,1,22.1,16.66
133,100040,154,4,216.19,136.36
135,100041,47,1,309.1,213.38
138,100042,102,3,81.42,63.07
139,100043,140,3,286.75,214.76
144,100044,164,1,230.65,162.13
150,100045,9,2,135.61,92.38
153,100046,2,1,298.16,208.61
157,100047,9,1,135.61,92.38
160,100048,39,1,313.08,177.99
164,100049,26,2,388.44,288.92
165,100050,128,1,84.41,58.18
170,100051,73,3,128.24,71.71
176,100052,13,1,193.31,144.27
177,100053,94,3,330.54,227.68
183,100054,163,1,382.85,281.19
187,100055,53,4,364.88,223.42
190,100056,9,2,135.61,92.38
196,100057,108,3,290.63,177.08
201,100058,91,2,149.61,86.53
204,100059,109,2,143.65,105.82
207,100060,115,3,358.98,254.08
213,100061,134,1,284.87,206.71
214,100062,114,3,389.74,252.66
220,100063,73,2,128.24,71.71
222,100064,122,3,367.65,236.23
228,100065,161,3,228.71,166.65
229,100066,167,3,25.47,14.75
235,100067,136,1,327.56,246.5
240,100068,88,2,265.17,157.4
246,100069,106,4,228.52,165.21
248,100070,30,4,37.19,23.48
252,100071,107,3,267.75,162.27
254,100072,178,4,46.82,33.27
258,100073,49,4,218.64,143.62
260,100074,79,4,275.41,203.91
264,100075,31,2,167.7,103.61
267,100076,19,3,135.75,77.98
269,100077,152,3,225.44,159.92
274,100078,52,2,139.46,94.43
277,100079,13,2,193.31,144.27
280,100080,122,3,367.65,236.23
286,100081,87,1,214.6,130.18
288,100082,33,1,126.76,86.92
290,100083,1,3,162.33,127.86
296,100084,114,4,389.74,252.66
299,100085,110,3,266.86,203.43
301,100086,24,3,138.45,94.15
305,100087,169,4,345.08,250.5
310,100088,175,2,162.35,114.69
316,100089,47,2,309.1,213.38
320,100090,81,1,159.76,113.12
322,100091,146,2,31.59,17.67
323,100092,79,2,275.41,203.91
325,100093,105,2,21.92,12.94
329,100094,26,2,388.44,288.92
333,100095,63,2,106.62,70.03
338,100096,153,4,295.91,234.94
341,100097,72,4,208.95,130.64
343,100098,123,3,25.87,20.23
346,100099,180,1,377.29,261.79
350,100100,161,2,228.71,166.65
353,100101,130,3,236.62,135.89
357,100102,155,2,322.17,199.01
362,100103,156,2,186.81,106.41
365,100104,104,4,58.56,41.92
367,100105,5,2,248.42,180.61
373,100106,176,4,211.19,161.38
375,100107,84,2,141.9,84.66
376,100108,178,4,46.82,33.27
377,100109,135,3,156.61,97.63
382,100110,159,3,175.4,104.07
386,100111,178,1,46.82,33.27
387,100112,28,3,247.2,192.93
392,100113,13,2,193.31,144.27
393,100114,91,3,149.61,86.53
395,100115,26,3,388.44,288.92
400,100116,79,1,275.41,203.91
406,100117,29,4,53.63,32.12
410,100118,4,1,42.07,32.25
415,100119,10,3,184.14,114.68
419,100120,153,4,295.91,234.94
421,100121,105,3,21.92,12.94
423,100122,65,4,22.64,15.34
427,100123,94,1,330.54,227.68
429,100124,83,1,54.31,41.21
432,100125,46,2,65.45,47.67
433,100126,21,3,66.37,44.72
435,100127,108,1,290.63,177.08
436,100128,48,1,312.97,210.77
440,100129,13,1,193.31,144.27
445,100130,100,2,357.09,266.02
447,100131,128,2,84.41,58.18
452,100132,168,2,37.48,21
458,100133,80,3,110.3,80.75
459,100134,8,3,89.09,53.08
461,100135,169,1,345.08,250.5
463,100136,92,4,371.38,285.72
468,100137,154,4,216.19,136.36
474,100138,42,1,145.74,82.47
479,100139,118,4,94.19,68.82
482,100140,5,4,248.42,180.61
487,100141,19,3,135.75,77.98
493,100142,73,3,128.24,71.71
497,100143,31,4,167.7,103.61
500,100144,99,1,295.86,229.08
502,100145,59,3,325.4,194.15
504,100146,53,3,364.88,223.42
507,100147,139,1,323.35,230.38
511,100148,80,2,110.3,80.75
515,100149,7,3,336.33,202.84
521,100150,148,3,68.28,46.47
525,100151,173,2,171.43,120.68
526,100152,2,3,298.16,208.61
527,100153,29,1,53.63,32.12
528,100154,148,3,68.28,46.47
532,100155,69,2,217.14,157.59
535,100156,138,3,214.31,144.74
540,100157,113,1,120.78,73.8
544,100158,10,2,184.14,114.68
550,100159,161,4,228.71,166.65
552,100160,154,2,216.19,136.36
558,100161,174,1,261.34,146.7
562,100162,67,1,65.55,41.59
563,100163,107,3,267.75,162.27
566,100164,115,4,358.98,254.08
572,100165,140,1,286.75,214.76
577,100166,68,1,378.31,238.64
578,100167,8,4,89.09,53.08
581,100168,97,1,362.16,256.51
582,100169,170,3,200.19,115
586,100170,82,3,260.74,178.33
587,100171,76,3,365.14,222.7
592,100172,171,2,206.81,138.23
593,100173,105,2,21.92,12.94
595,100174,177,3,270.3,159.68
599,100175,78,1,394.55,240.88
603,100176,51,1,31.94,22.65
605,100177,96,4,55.38,42.88
607,100178,9,4,135.61,92.38
612,100179,82,3,260.74,178.33
618,100180,63,2,106.62,70.03
622,100181,34,3,73.55,55.2
624,100182,91,4,149.61,86.53
628,100183,17,4,44.72,35.2
633,100184,16,1,250.87,148.67
635,100185,69,1,217.14,157.59
638,100186,83,3,54.31,41.21
639,100187,103,4,250.44,138.32
644,100188,53,2,364.88,223.42
647,100189,85,2,35.49,24.76
653,100190,91,4,149.61,86.53
655,100191,120,1,265.28,157.65
657,100192,139,2,323.35,230.38
661,100193,85,2,35.49,24.76
664,100194,17,4,44.72,35.2
668,100195,136,3,327.56,246.5
673,100196,11,4,252.5,147.68
675,100197,145,2,128.89,89.93
676,100198,48,4,312.97,210.77
679,100199,26,3,388.44,288.92
681,100200,108,4,290.63,177.08
682,100201,16,4,250.87,148.67
685,100202,72,2,208.95,130.64
691,100203,50,3,29.66,17.11
