payment_id,order_id,payment_method,payment_status,paid_amount
500001,100001,COD,Success,951.54
500002,100002,Card,Success,1239.2
500003,100003,COD,Success,353.97
500004,100004,UPI,Success,1104.19
500005,100005,NetBanking,Success,2950.15
500006,100006,NetBanking,Success,1367.48
500007,100007,Card,Success,3889.9
500008,100008,UPI,Success,1050.65
500009,100009,UPI,Success,3048.28
500010,100010,UPI,Success,1730.27
500011,100011,UPI,Success,249.97
500012,100012,UPI,Success,801.81
500013,100013,Card,Success,1790.82
500014,100014,UPI,Success,1073.92
500015,100015,UPI,Success,5038.94
500016,100016,Card,Success,1416.65
500017,100017,UPI,Success,356.8
500018,100018,Wallet,Success,294.68
500019,100019,UPI,Success,56.5
500020,100020,UPI,Success,302.49
500021,100021,Wallet,Success,4774.33
500022,100022,UPI,Success,2176
500023,100023,NetBanking,Failed,0
500024,100024,COD,Success,911.4
500025,100025,UPI,Success,509.62
500026,100026,Wallet,Success,1715.09
500027,100027,Card,Failed,0
500028,100028,UPI,Success,2358.26
500029,100029,Wallet,Success,1517.5
500030,100030,NetBanking,Success,1884.49
500031,100031,UPI,Success,1062.13
500032,100032,UPI,Success,3385.59
500033,100033,Wallet,Success,2342.79
500034,100034,UPI,Success,372.76
500035,100035,UPI,Success,1242.49
500036,100036,Card,Success,3359.35
500037,100037,UPI,Success,2380.46
500038,100038,NetBanking,Success,1163.71
500039,100039,Wallet,Success,1682.76
500040,100040,UPI,Success,1811.37
500041,100041,NetBanking,Success,1594.37
500042,100042,Card,Success,267.72
500043,100043,Card,Success,2988.74
500044,100044,Card,Success,1511.38
500045,100045,UPI,Success,2775.45
500046,100046,Card,Success,1007.39
500047,100047,UPI,Success,1591.44
500048,100048,UPI,Success,1494
500049,100049,Card,Success,695.77
500050,100050,COD,Success,1579.15
500051,100051,UPI,Failed,0
500052,100052,UPI,Success,215.2
500053,100053,Card,Success,4168.38
500054,100054,Wallet,Success,2033.52
500055,100055,Card,Failed,0
500056,100056,UPI,Success,1681.2
500057,100057,UPI,Success,1831.77
500058,100058,UPI,Success,627.31
500059,100059,UPI,Success,1427.26
500060,100060,UPI,Success,3942.99
500061,100061,Card,Success,287.21
500062,100062,Card,Success,3766.73
500063,100063,UPI,Success,1124.86
500064,100064,UPI,Success,2537.83
500065,100065,Wallet,Success,562.97
500066,100066,NetBanking,Success,2320.12
500067,100067,Card,Success,1394
500068,100068,Card,Success,2839
500069,100069,COD,Success,2253.53
500070,100070,COD,Success,1279.24
500071,100071,UPI,Success,912.46
500072,100072,UPI,Success,555.1
500073,100073,Card,Success,1434.72
500074,100074,UPI,Success,2302.02
500075,100075,COD,Failed,0
500076,100076,Card,Success,666.33
500077,100077,Wallet,Success,2146.04
500078,100078,UPI,Success,657.72
500079,100079,UPI,Success,1403.72
500080,100080,UPI,Success,2977.16
500081,100081,Card,Success,493.93
500082,100082,NetBanking,Success,1167.47
500083,100083,UPI,Success,2856.82
500084,100084,Wallet,Success,2419.32
500085,100085,NetBanking,Success,1406.54
500086,100086,UPI,Success,2246.68
500087,100087,UPI,Success,3635.56
500088,100088,UPI,Success,2456.19
500089,100089,Card,Success,2628.27
500090,100090,UPI,Success,705.13
500091,100091,UPI,Success,73.28999999999999
500092,100092,NetBanking,Success,730.18
500093,100093,UPI,Success,1426.25
500094,100094,UPI,Success,1100.53
500095,100095,UPI,Success,1094.97
500096,100096,Card,Success,2211.44
500097,100097,UPI,Success,1460.32
500098,100098,UPI,Success,773.57
500099,100099,COD,Success,1383.3
500100,100100,UPI,Success,1496.38
500101,100101,Card,Success,3461.85
500102,100102,UPI,Success,1845.37
500103,100103,COD,Success,1547.16
500104,100104,UPI,Success,456.4
500105,100105,Card,Success,2190.53
500106,100106,UPI,Success,995.41
500107,100107,UPI,Success,305.11
500108,100108,Card,Success,190.03
500109,100109,Card,Success,1463.51
500110,100110,COD,Success,2465.36
500111,100111,Card,Success,53.75
500112,100112,Card,Success,2789.16
500113,100113,UPI,Success,387.06
500114,100114,Wallet,Success,960.32
500115,100115,COD,Refunded,0
500116,100116,UPI,Success,2178.61
500117,100117,NetBanking,Success,1557.25
500118,100118,UPI,Success,940.93
500119,100119,COD,Success,885.64
500120,100120,Card,Success,1486.86
500121,100121,UPI,Success,377.89
500122,100122,Wallet,Success,1107.19
500123,100123,UPI,Success,378.83
500124,100124,UPI,Success,636.02
500125,100125,UPI,Success,139.88
500126,100126,UPI,Success,210.67
500127,100127,NetBanking,Success,275.03
500128,100128,UPI,Success,2438.72
500129,100129,Card,Success,1868.34
500130,100130,Card,Success,1018.26
500131,100131,UPI,Success,3823.81
500132,100132,Card,Success,1904.53
500133,100133,Wallet,Success,336.87
500134,100134,Card,Success,522.5
500135,100135,UPI,Success,1577.28
500136,100136,COD,Success,3179.93
500137,100137,Card,Success,2705.13
500138,100138,UPI,Success,2078.5
500139,100139,Wallet,Success,728.36
500140,100140,UPI,Success,3133.85
500141,100141,NetBanking,Success,2373.43
500142,100142,Card,Success,1776.71
500143,100143,UPI,Success,1384.88
500144,100144,UPI,Success,830.38
500145,100145,UPI,Success,1588.08
500146,100146,UPI,Success,1738.35
500147,100147,UPI,Success,1057.57
500148,100148,COD,Success,1978.06
500149,100149,Card,Success,4711.41
500150,100150,Wallet,Success,893.1
500151,100151,UPI,Success,316.75
500152,100152,NetBanking,Success,770.24
500153,100153,UPI,Refunded,0
500154,100154,COD,Success,1951.79
500155,100155,Card,Success,1491.96
500156,100156,Wallet,Success,3638.34
500157,100157,UPI,Success,958.78
500158,100158,Card,Success,3197.9
500159,100159,Wallet,Success,1009.66
500160,100160,NetBanking,Success,2186.83
500161,100161,Card,Success,1696.92
500162,100162,UPI,Success,82.94
500163,100163,UPI,Success,1677.69
500164,100164,Wallet,Success,2105.41
500165,100165,UPI,Success,1764.69
500166,100166,Card,Success,365.76
500167,100167,NetBanking,Success,906.79
500168,100168,UPI,Success,344.46
500169,100169,Wallet,Success,1475.98
500170,100170,NetBanking,Success,731.61
500171,100171,UPI,Success,2811.64
500172,100172,UPI,Success,416.75
500173,100173,UPI,Success,115.14
500174,100174,UPI,Refunded,0
500175,100175,UPI,Success,2122.21
500176,100176,UPI,Success,987.66
500177,100177,UPI,Success,606.75
500178,100178,Wallet,Success,1849.77
500179,100179,UPI,Success,1873.9
500180,100180,UPI,Success,1855.86
500181,100181,Wallet,Success,628.82
500182,100182,UPI,Success,881.61
500183,100183,UPI,Success,2199.12
500184,100184,UPI,Success,600.34
500185,100185,UPI,Success,1338.4
500186,100186,UPI,Success,169.34
500187,100187,UPI,Success,3074.71
500188,100188,Card,Success,1342.84
500189,100189,UPI,Failed,0
500190,100190,UPI,Success,1294.02
500191,100191,Card,Success,649.86
500192,100192,UPI,Success,2775.21
500193,100193,COD,Success,1476.5
500194,100194,NetBanking,Success,2394.39
500195,100195,Card,Success,2281.3
500196,100196,Wallet,Success,1921.34
500197,100197,Card,Success,268.09000000000003
500198,100198,Card,Success,2075.81
500199,100199,Wallet,Success,1170.94
500200,100200,Card,Success,1013.14
500201,100201,Wallet,Success,1273.33
500202,100202,NetBanking,Success,2234.85
500203,100203,Wallet,Success,689.15
500204,100204,UPI,Success,181.24
500205,100205,Card,Success,2442.32
500206,100206,UPI,Success,413.28
500207,100207,UPI,Success,1875.46
500208,100208,UPI,Success,745.95
500209,100209,UPI,Success,3213.92
500210,100210,UPI,Success,1866.1
500211,100211,UPI,Success,713.86
500212,100212,NetBanking,Success,488.88
500213,100213,Card,Refunded,0
500214,100214,UPI,Success,2265.42
500215,100215,UPI,Success,3128.13
500216,100216,Wallet,Success,1794.62
500217,100217,Card,Success,5328.15
500218,100218,Wallet,Success,2329.11
500219,100219,NetBanking,Success,778.84
500220,100220,UPI,Success,2601.7
500221,100221,Wallet,Success,3108.36
500222,100222,UPI,Success,1052.44
500223,100223,UPI,Success,2850.01
500224,100224,UPI,Success,1070.9
500225,100225,UPI,Success,650.43
500226,100226,UPI,Refunded,0
500227,100227,UPI,Success,1466.55
500228,100228,UPI,Success,777.93
500229,100229,UPI,Success,2080.86
500230,100230,Wallet,Success,1760.11
500231,100231,NetBanking,Success,3115.27
500232,100232,UPI,Success,1364.47
500233,100233,COD,Success,3649.02
500234,100234,UPI,Failed,0
500235,100235,UPI,Success,1632.14
500236,100236,UPI,Success,346.71
500237,100237,Wallet,Success,1341.18
500238,100238,Wallet,Success,793.84
500239,100239,NetBanking,Success,2670.47
500240,100240,Card,Success,246.77
500241,100241,Wallet,Success,510.39
500242,100242,Card,Success,703.5
500243,100243,UPI,Success,634.11
500244,100244,UPI,Success,2849.18
500245,100245,UPI,Success,2042.34
500246,100246,UPI,Success,2226.78
500247,100247,UPI,Success,413.48
500248,100248,UPI,Success,1246.94
500249,100249,UPI,Success,469.09
500250,100250,Card,Success,284.38
500251,100251,Wallet,Success,435.86
500252,100252,UPI,Success,704.07
500253,100253,Card,Success,1214.67
500254,100254,Card,Success,381.39
500255,100255,Wallet,Success,2038.77
500256,100256,NetBanking,Success,848.79
500257,100257,NetBanking,Success,477.98
500258,100258,UPI,Success,170.07
500259,100259,UPI,Refunded,0
500260,100260,UPI,Success,2980.8
500261,100261,UPI,Success,1082.09
500262,100262,Card,Success,3306.82
500263,100263,UPI,Success,574.52
500264,100264,Card,Success,2178.49
500265,100265,UPI,Success,1443.5
500266,100266,UPI,Success,59.59
500267,100267,Wallet,Success,258.65999999999997
500268,100268,Wallet,Failed,0
500269,100269,Wallet,Success,372.34
500270,100270,UPI,Success,2914.93
500271,100271,Wallet,Success,2350.57
500272,100272,Wallet,Success,1962.98
500273,100273,UPI,Success,1391.64
500274,100274,NetBanking,Failed,0
500275,100275,Card,Success,556.83
500276,100276,UPI,Success,1422.98
500277,100277,UPI,Failed,0
500278,100278,UPI,Success,81.5
500279,100279,UPI,Success,450.32
500280,100280,UPI,Success,3190.73
500281,100281,Card,Success,1487.99
500282,100282,UPI,Success,2417.22
500283,100283,UPI,Success,1171.28
500284,100284,UPI,Success,566.61
500285,100285,UPI,Success,4320.55
500286,100286,COD,Success,4830.28
500287,100287,Wallet,Success,1279.14
500288,100288,Wallet,Success,1172.16
500289,100289,UPI,Success,2124.11
500290,100290,UPI,Success,250.55
500291,100291,COD,Success,1264.35
500292,100292,NetBanking,Success,3094.45
500293,100293,UPI,Success,3936.98
500294,100294,UPI,Success,3277.08
500295,100295,UPI,Success,1179.99
500296,100296,Wallet,Success,2291.1
500297,100297,Wallet,Success,3061.57
500298,100298,UPI,Success,1864.13
500299,100299,UPI,Success,2177.63
500300,100300,UPI,Success,2052.07
500301,100301,UPI,Success,473.81
500302,100302,Card,Success,328.46
500303,100303,Card,Success,2031.67
500304,100304,UPI,Success,1216.15
500305,100305,UPI,Success,1653.05
500306,100306,UPI,Success,2764.66
500307,100307,UPI,Success,2878.31
500308,100308,Card,Success,1208.38
500309,100309,NetBanking,Failed,0
500310,100310,Card,Success,3909.67
500311,100311,NetBanking,Success,769.99
500312,100312,Card,Success,2376.13
500313,100313,Wallet,Success,527.15
500314,100314,UPI,Success,636.75
500315,100315,Wallet,Success,271.77
500316,100316,Card,Success,77.35
500317,100317,Card,Success,2220.22
500318,100318,UPI,Success,505.94
500319,100319,UPI,Success,432.96
500320,100320,UPI,Success,521.68
500321,100321,Card,Success,627.5
500322,100322,NetBanking,Success,4411.02
500323,100323,Card,Success,2031.08
