return_id,order_id,return_reason,refund_amount,return_status
900001,125697,Late delivery,581.26,Approved
900002,117421,Wrong item,154.43,Approved
900003,131138,Late delivery,87.37,Approved
900004,139632,Late delivery,179.19,Approved
900005,102426,Changed mind,502.77,Approved
900006,128634,Late delivery,93.57,Approved
900007,130281,Late delivery,512.31,Approved
900008,135097,Late delivery,401.41,Approved
900009,111418,Late delivery,378.76,Approved
900010,137875,Changed mind,532.63,Approved
900011,132176,Quality issue,185.56,Approved
900012,129564,Quality issue,344.25,Approved
900013,120766,Damaged item,358.24,Approved
900014,136812,Damaged item,370.66,Approved
900015,110372,Late delivery,200.26,Approved
900016,131463,Quality issue,413.9,Approved
900017,134937,Changed mind,282.1,Approved
900018,115191,Quality issue,384.02,Rejected
900019,117628,Late delivery,588.7,Approved
900020,118250,Damaged item,148.98,Approved
900021,104976,Wrong item,585.21,Rejected
900022,113888,Quality issue,586.9,Approved
900023,141051,Quality issue,91.51,Rejected
900024,126814,Damaged item,112.25,Approved
900025,119101,Quality issue,220.14,Approved
900026,123357,Missing item,432,Approved
900027,100012,Damaged item,447.55,Approved
900028,106682,Late delivery,548.29,Approved
900029,105626,Wrong item,342.15,Approved
900030,112500,Quality issue,422.97,Approved
900031,105527,Quality issue,129.62,Approved
900032,112042,Damaged item,125.27,Approved
900033,104794,Wrong item,511.46,Approved
900034,115894,Missing item,88.81,Approved
900035,113075,Missing item,502.56,Approved
900036,125830,Late delivery,189.83,Approved
900037,107783,Changed mind,519.27,Approved
900038,113406,Missing item,442.47,Approved
900039,137327,Damaged item,477.03,Approved
900040,113393,Changed mind,65.01,Approved
900041,107030,Wrong item,75.97,Approved
900042,104975,Damaged item,282.14,Rejected
900043,115453,Damaged item,50.73,Approved
900044,103813,Wrong item,95.93,Approved
900045,141492,Late delivery,425.02,Approved
900046,109013,Damaged item,472.14,Approved
900047,109666,Changed mind,233.45,Approved
900048,133843,Wrong item,179.63,Approved
900049,116718,Quality issue,276.75,Approved
900050,106727,Damaged item,86.31,Rejected
900051,134584,Changed mind,298.42,Approved
900052,105585,Wrong item,97.61,Approved
900053,131777,Quality issue,143.75,Approved
900054,121191,Missing item,246.19,Approved
900055,113723,Wrong item,135.45,Approved
900056,138899,Quality issue,512.02,Approved
900057,116942,Quality issue,286.74,Approved
900058,132440,Quality issue,570.15,Approved
900059,128566,Damaged item,227.28,Approved
900060,113137,Quality issue,596.32,Approved
900061,141466,Late delivery,489.87,Approved
900062,106759,Wrong item,447.55,Approved
900063,118988,Missing item,451.74,Approved
900064,139519,Changed mind,363.3,Approved
900065,107166,Late delivery,188.55,Approved
900066,103396,Changed mind,589.95,Approved
900067,114536,Wrong item,283.29,Approved
900068,135528,Late delivery,141.07,Approved
900069,140504,Wrong item,136.82,Approved
900070,122892,Damaged item,342.97,Approved
900071,140110,Changed mind,256.68,Approved
900072,102359,Changed mind,413.6,Approved
900073,127082,Missing item,217.49,Approved
900074,120637,Damaged item,119.85,Approved
900075,122096,Changed mind,543.57,Approved
900076,105280,Late delivery,258.6,Approved
900077,140957,Quality issue,593.31,Approved
900078,136614,Damaged item,416.8,Approved
900079,132994,Damaged item,442.54,Approved
