ticket_id,order_id,ticket_type,ticket_status,csat_rating
800001,102566,Refund request,Resolved,5
800002,122392,Wrong item,Open,2
800003,107628,Missing item,Resolved,2
800004,132351,Refund request,Resolved,5
800005,100136,Refund request,Resolved,3
800006,123114,Delivery delay,Open,3
800007,105494,App issue,Resolved,5
800008,105919,App issue,Resolved,2
800009,104613,App issue,Resolved,
800010,111461,App issue,Resolved,2
800011,123172,App issue,Resolved,3
800012,121025,Missing item,Resolved,3
800013,126146,Delivery delay,Resolved,1
800014,101041,App issue,Resolved,3
800015,129792,Delivery delay,Resolved,5
800016,136324,Wrong item,Resolved,2
800017,109708,Missing item,Resolved,
800018,141369,Missing item,Resolved,2
800019,120167,Damaged item,Resolved,5
800020,139512,Missing item,Resolved,3
800021,137580,Missing item,Resolved,3
800022,139610,Delivery delay,Open,3
800023,132795,Wrong item,Resolved,
800024,124808,Payment issue,Resolved,4
800025,138416,Refund request,Resolved,1
800026,100487,Refund request,Resolved,4
800027,117329,Missing item,Resolved,2
800028,139922,Refund request,Resolved,5
800029,103693,Wrong item,Resolved,4
800030,112429,Wrong item,Escalated,5
800031,121543,Missing item,Resolved,1
800032,124706,Delivery delay,Resolved,
800033,100849,Wrong item,Resolved,4
800034,130062,Wrong item,Resolved,1
800035,105590,Delivery delay,Resolved,1
800036,112116,Wrong item,Resolved,2
800037,119431,Missing item,Resolved,3
800038,137500,Damaged item,Resolved,5
800039,100391,Refund request,Resolved,
800040,126883,Wrong item,Resolved,4
800041,137810,Missing item,Resolved,
800042,112298,Refund request,Resolved,3
800043,109864,Refund request,Resolved,3
800044,114859,Delivery delay,Open,
800045,139501,Missing item,Resolved,4
800046,132753,App issue,Resolved,4
800047,121637,Payment issue,Resolved,
800048,107376,Delivery delay,Resolved,4
800049,100707,Missing item,Resolved,
800050,112928,Missing item,Resolved,3
800051,114820,Delivery delay,Resolved,4
800052,116989,Delivery delay,Open,1
800053,137667,Missing item,Resolved,
800054,137824,Wrong item,Resolved,2
800055,120577,Refund request,Resolved,5
800056,133148,App issue,Resolved,4
800057,107342,Wrong item,Resolved,2
800058,120136,Wrong item,Resolved,2
800059,117098,App issue,Resolved,1
800060,117679,Delivery delay,Resolved,
800061,111007,Refund request,Resolved,2
800062,101722,App issue,Resolved,
800063,116013,Delivery delay,Escalated,4
800064,123789,Wrong item,Resolved,4
800065,120825,Wrong item,Resolved,1
800066,121720,Missing item,Resolved,
800067,126887,App issue,Open,4
800068,104925,Wrong item,Resolved,5
800069,114851,Delivery delay,Open,
800070,104374,App issue,Resolved,5
800071,134454,Payment issue,Resolved,
800072,115743,Delivery delay,Resolved,
800073,140005,Refund request,Resolved,4
800074,111578,Wrong item,Resolved,5
800075,106032,App issue,Open,1
800076,110472,Refund request,Resolved,2
800077,134462,Delivery delay,Resolved,4
800078,109248,Payment issue,Resolved,3
800079,134066,Wrong item,Resolved,
800080,139783,Wrong item,Resolved,4
800081,125015,Wrong item,Resolved,5
800082,108776,Delivery delay,Resolved,4
800083,103977,Delivery delay,Resolved,1
800084,139349,Delivery delay,Resolved,3
800085,132091,Payment issue,Resolved,3
800086,110906,Missing item,Escalated,5
800087,107426,Missing item,Resolved,2
800088,130323,Missing item,Resolved,2
800089,125791,Missing item,Resolved,1
800090,127939,Delivery delay,Resolved,
800091,128439,Delivery delay,Open,1
800092,130896,Delivery delay,Open,2
800093,127661,Delivery delay,Resolved,1
800094,120470,Damaged item,Resolved,3
800095,127391,Delivery delay,Resolved,5
800096,131700,Delivery delay,Resolved,1
800097,111926,Damaged item,Resolved,2
800098,130402,Wrong item,Resolved,4
800099,132197,Missing item,Resolved,5
800100,100324,Payment issue,Resolved,
800101,117647,Refund request,Resolved,2
800102,102908,Payment issue,Resolved,4
800103,116833,Wrong item,Resolved,1
800104,134392,App issue,Open,
800105,113615,Delivery delay,Resolved,3
800106,115064,Delivery delay,Escalated,
800107,116304,Refund request,Resolved,1
800108,116986,Missing item,Resolved,3
800109,109173,Missing item,Resolved,
800110,132097,Damaged item,Resolved,
800111,127943,Refund request,Resolved,3
800112,139075,Payment issue,Resolved,2
